pickup_date,num_of_SR,trip_count,avg_trip_duration,CASE_COUNT,PROBABLE_CASE_COUNT,CASE_COUNT_7DAY_AVG,ALL_CASE_COUNT_7DAY_AVG,BX_CASE_COUNT,BX_PROBABLE_CASE_COUNT,BX_CASE_COUNT_7DAY_AVG,BX_ALL_CASE_COUNT_7DAY_AVG,BK_CASE_COUNT,BK_PROBABLE_CASE_COUNT,BK_CASE_COUNT_7DAY_AVG,BK_ALL_CASE_COUNT_7DAY_AVG,MN_CASE_COUNT,MN_PROBABLE_CASE_COUNT,MN_CASE_COUNT_7DAY_AVG,MN_ALL_CASE_COUNT_7DAY_AVG,QN_CASE_COUNT,QN_PROBABLE_CASE_COUNT,QN_CASE_COUNT_7DAY_AVG,QN_ALL_CASE_COUNT_7DAY_AVG,SI_CASE_COUNT,SI_PROBABLE_CASE_COUNT,SI_CASE_COUNT_7DAY_AVG,SI_ALL_CASE_COUNT_7DAY_AVG
2020-09-01,34,344879,17.833136346370758,294,34,255,278,52,9,48,55,89,16,86,94,55,4,45,48,73,4,58,62,24,1,18,19
2020-09-02,42,357969,17.718039718523112,271,25,249,272,42,6,45,52,94,10,83,92,48,6,45,48,69,3,58,62,17,0,18,19
2020-09-03,26,391021,18.25842466261403,274,29,250,274,41,5,44,50,91,5,81,90,35,4,43,46,90,11,62,67,17,4,19,20
2020-09-04,6,425570,19.115868012312898,230,19,243,267,44,1,39,45,71,8,80,89,30,4,40,43,59,4,63,68,26,2,20,21
2020-09-05,0,434656,17.152275868732975,156,11,247,269,30,3,39,44,46,5,82,90,22,0,40,43,34,3,63,68,24,0,22,23
2020-09-06,0,388982,16.394228421880705,207,24,250,272,18,4,39,44,87,7,85,93,27,6,38,42,62,6,66,71,13,1,20,22
2020-09-07,0,328965,15.913661027768912,218,23,236,259,32,4,37,42,74,6,79,87,41,4,37,41,52,9,63,68,19,0,20,21
2020-09-08,56,340088,17.860572734115877,394,23,250,272,81,5,41,45,127,3,84,91,58,5,37,41,98,8,66,73,30,2,21,22
2020-09-09,40,357494,18.15558233145172,352,32,262,285,56,6,43,47,119,8,88,94,70,4,40,44,82,12,68,76,25,2,22,24
2020-09-10,48,399287,17.784562382446712,323,28,269,291,45,4,44,48,124,8,93,99,57,8,44,48,70,8,65,72,27,0,23,24
